addr:street,amenity,building,healthcare,name,opening_hours,lon,lat,addr:city,website,addr:country,addr:province,building:levels,healthcare:speciality,historic,owner,source,wikidata,alt_name,shop,contact:phone,contact:website,postal_code,healthcare:for,description,gnis:feature_id,image,note,operator,operator:type,source:date,source_ref,brand,brand:wikidata,ele,height,name:tli,dispensing,operator:wikidata,operator:wikipedia,addr:unit,amenity_1,healthcare:counselling,wikipedia,office,health_facility_type,health_person:type,old_name,fax,contact:facebook,contact:instagram,email,start_date,payment:cash,payment:credit_cards,payment:debit_cards,landuse,addr:housename,wheelchair,addr:full,level,urgent_care,name:en,health_facility,drive_through,payment:apple_pay,contact:twitter,not:brand:wikidata,check_date:opening_hours,payment:american_express,payment:cheque,payment:discover_card,payment:mastercard,payment:visa,brand:website,short_name,branch,facebook,check_date,fixme,operator:short
,hospital,,hospital,Providence Extended Care,,-149.8772754,61.176434,,,,,,,,,,,,,,,,,,,,,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,
Cordova Street,hospital,,hospital,St. Elias,,-149.880981,61.1763602,Anchorage,,,,,,,,,,,,,,,,,,,,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-149.814507,61.199372,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Alaska Hand Rehabilitation,,-149.837178,61.183867,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Alaska Internal Medicine & Pediatrics,,-149.8356525,61.183675,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Alaska Family Medical Care,,-149.8371025,61.183341,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Aurora Maternal-Fetal Medicine,,-149.8351965,61.183364,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Street,clinic,office,,Alaska Retinal Consultants,,-149.8854721,61.1698006,Anchorage,,,,,ophthalmology,,,microsoft/BuildingFootprints,,,,,,99518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,,,-149.8218472,61.2107426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,commercial,pharmacy,Stikine Drug,,-132.3841516,56.471728,,,,,,,,,Wrangell Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,commercial,clinic,Alaska Island Community Services,,-132.38432,56.4710374,,,,,,,,,Wrangell Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Annette Island Service Unit,,-131.5756827,55.1242988,Metlakatla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30th Avenue,clinic,yes,clinic,Interior Women's Health,,-147.7429467,64.82041,Fairbanks,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,,,-135.3553632,57.0515709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlanna Lake Road,clinic,yes,clinic,PeaceHealth Medical Group,,-131.6873949,55.3541679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PeaceHealth Medical Group,,,,,,,,,,,,,,,,,,,,,,,
East Meridian Park Loop,clinic,yes,clinic,Ptarmigan Pediatrics,,-149.3613348,61.5932711,Wasilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Gambell Clinic,Mo-Fr 08:00-17:00,-171.7269465,63.7785314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Alakanuk Clinic,,-164.6563857,62.683057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alaska Street,clinic,yes,clinic,Palmer Family Medicine,Mo-Fr 09:00-17:00,-149.1151671,61.6046311,City Of Palmer,,,,,,,,esri/USA_NAD_Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Maple Springs Way,clinic,yes,clinic,Capstone Clinic,Mo-Fr 08:30-17:00,-149.1471005,61.5989633,Palmer,https://www.capstoneclinic.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,,,-157.3748965,58.208836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Alaska Regional MyHealth Clinic,,-149.84397,61.141403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,John Afcan Memorial Clinic,,-163.1835914,62.0524136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Nunam Iqua Health Clinic,,-164.8497269,62.5313189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Russian Mission Clinic,,-161.3302905,61.7839779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Avenue,hospital,,hospital,Maniilaq Health Center,,-162.5871131,66.8959734,Kotzeblue,https://www.maniilaq.org/health-services/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,EMT Shack,,-149.5971851,68.6268297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-159.2382832,61.5755193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Nicholas Kompkoff Clinic,,-148.0167861,60.0656884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Talkeetna Spur,clinic,yes,clinic,Sunshine Community Health Center,,-150.052539,62.1903573,Talkeetna,https://www.sunshineclinic.org/,,,,,,,,,Sunshine Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mile 4.4 Talkeetna Spur Rd Talkeetna Alaska 99676,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-149.2587691,61.574991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Central Peninsula Hospital,,-151.0771041,60.4936323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,Imaging Associates,,-149.8297055,61.1876153,,https://imagingak.com/,,,,radiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,Alaska Surgery Center,,-149.8142091,61.2105428,,https://aksurgery.com/,,,,surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Rose Ambrose Health Clinic,,-156.3847713,65.7018724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-154.8695576,59.7542469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noble Street,clinic,yes,clinic,Tanana Valley Clinic 1st Care,Mo-Su 08:00-19:00,-147.7133346,64.8385336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fram Street,hospital,,hospital,Petersburg Medical Center,24-Jul,-132.955361,56.8128844,Petersburg,https://www.pmcak.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,,,-132.3727848,56.4633204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-135.7278835,58.4076651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Camai Clinic,,-157.007588,58.7328492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Atla Qiaramtome Clinic,,-174.1977539,52.2009552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Colonel Mary Louise Rasmuson Campus,,-149.7448815,61.2332345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slocum Drive,clinic,yes,clinic,King Cove Clinic,,-162.2959273,55.048481,King Cove,https://cityofkingcove.com/medical/,,,,,,,,,,,,,,,,,,,Eastern Aleutian Tribes EATS,private_non_profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,,,-162.2960781,55.0485304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Yukon-Kuskokwim Delta Regional Hospital,,-161.7856787,60.7884352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Medical Clinic,,-161.770466,60.7222174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Street,clinic,yes,clinic,Bethel Family Clinic,,-161.7618188,60.7960198,Bethel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief Thomas Drive,clinic,yes,clinic,Alpine Medical Group-North,Mo-Fr 08:00-17:00; Sa-Su off,-147.7800876,64.845673,Fairbanks,https://www.amgfairbanks.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips Field Road,clinic,yes,clinic,Mountain View Medical Center,,-147.7842601,64.8467471,Fairbanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,,,-149.8539596,61.2210082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construction,,,,,,,,,,,,,,,,,,,,,,,,
Glacier Avenue,doctors,yes,doctor,Glacier Pediatrics,,-134.426777,58.304888,Juneau,https://www.glacierpediatrics.com/,,,,paediatrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/glacierpediatrics/,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavelle Court,clinic,,clinic,Iliuliuk Family and Health Services,Mo-Fr 08:30-18:00; Sa 08:30-13:00,-166.5392208,53.8721667,Unalaska,https://www.ifhs.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,,pharmacy,Homer Rexall Drugs,,-151.5233,59.6469636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Peninsula Surgical Clinic,,-151.5474112,59.644106,,,,,,,,M. Todd Boling D.O.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,,pharmacy,People's Drug - Rexall,,-132.957684,56.8129001,Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,,Healy Clinic,,-149.0060712,63.8704949,,https://www.interiorcommunityhealth.org/contents/healy-clinic,,,,,,,,,,,,,,,,,,,Interior Community Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Canyon Clinic,,-148.901478,63.7474852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongass Avenue,pharmacy,,pharmacy,Island Pharmacy,,-131.69235,55.35596,,https://www.islandpharmacyak.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,Island Pharmacy,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Gustavus Clinic,,-135.7278199,58.4076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,yes,Hope Clinic,,-149.6203984,60.9194267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Fairbanks Urgent Care,,-147.756874,64.8360099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,,pharmacy,Medical Center Pharmacy,,-147.756374,64.8359269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Drive,doctors,,doctor,Rainforest Pediatrics,,-134.4651154,58.3295414,Juneau,https://www.pcpcc.org/practice/rainforest-pediatric-care,,,,paediatrics,,,,,,,,,,,,,,,,,,,,,,,,,,,Suite D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,,Creative Abilities Physical Therapy,,-150.7501218,60.5355567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,,doctor,Alaska Children's Eye and Strabismus,,-149.8591045,61.1888584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,doctors,,doctor,Alaska Retinal Consultants,,-149.8591018,61.1889036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Huffman Road,doctors,,doctor,First Care,07:00-23:00,-149.8579289,61.1090012,Anchorage,https://www.firstcareak.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suite 100,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
,doctors,,doctor,Arctic Chiropractic,,-162.598659,66.8987589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,,Tok Public Health Center,,-142.9841933,63.3362202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glacier Highway,clinic,,clinic,Moontide Healing Arts LLC,,-134.581511,58.3632272,,http://moontidehealing.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moontide.massage@gmail.com,,,,,,,,,,,Moontide Healing Arts LLC,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Valdez Chiropractic Center,,-146.357661,61.1287415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,yes,,,,,,,,,,,,,,,,,
,clinic,,clinic,Summit Physical Therapy,,-151.5291399,59.6479719,,,,,,physiatry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper Street,clinic,,clinic,Alaska Heart Institute,Mo-Fr 08:00-17:00,-149.8215774,61.1862962,Anchorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Providence Crisis Recovery Center,24-Jul,-149.8271607,61.185697,,https://alaska.providence.org/services/c/crisis-recovery-center,,,,psychiatry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Palmer-Wasilla Highway,pharmacy,,pharmacy,Three Bears Alaska,"Mo-Fr 09:30-19:00, Sa 10:00-14:00, Su closed",-149.246166,61.6005599,Palmer,https://threebearsalaska.com/mat-su/,,,,,,,EsriWorldImagery,,Three Bears Pharmacy,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,-5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Country Field Circle,pharmacy,,pharmacy,Geneva Woods Pharmacy,"Mo-Fr 08:00-18:00, Sa-Su closed",-149.357993,61.5890709,Wasilla,https://www.genevawoodshealth.com/locations/pharmacy-wasilla/,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Seward Highway,clinic,,clinic,Blood Bank of Alaska,,-149.8652051,61.1399232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Evergreen Avenue,pharmacy,,pharmacy,Fred Meyer Pharmacy,"Mo-Fr 09:00-21:00, Sa 09:00-19:00, Su 11:00-18:00",-149.126565,61.6005436,Palmer,https://www.fredmeyer.com/stores/details/701/00649,,,,,,,EsriWorldImagery,,,,,,,,,,,,,,,,Fred Meyer,Q5495932,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
West Evergreen Avenue,pharmacy,,pharmacy,Carrs,"Mo-Fr 09:00-21:00, Sa 09:00-18:00, Su 11:00-18:00",-149.1264971,61.597964,Palmer,https://local.pharmacy.carrsqc.com/ak/palmer/664-w-evergreen-ave.html,,,,,,,,,Carrs Safeway,,,,,,,,,,,,,,Carrs,Q5046735,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,,pharmacy,Walgreens,,-149.5669949,61.328837,,,,,,,,,EsriWorldImagery,,,,,,,,,,,,,,,,Walgreens,Q1591889,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,,pharmacy,Rons Apothecary,,-134.5873783,58.3715402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Street,pharmacy,,pharmacy,Harry Race Pharmacy,,-135.3382166,57.0492118,Sitka,https://www.sitkapharmacies.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,
Boniface Parkway,clinic,,clinic,CAPSTONE CLINIC,,-149.7772614,61.1810884,Anchorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boniface Parkway,clinic,,clinic,EMPOWER PHYSICAL THERAPY,,-149.777023,61.1811346,Anchorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Drive,pharmacy,,pharmacy,Providence Medical Arts Pharmacy,,-149.8195054,61.1894607,Anchorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Northern Lights Boulevard,clinic,,clinic,Urgent Care Medical Clinic,,-149.7812138,61.1960415,Anchorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,clinic,Edgar Nollner Health Center,,-156.8769569,64.7446924,,,,,,,,,,,,,,,,,,,,,Tanana Chiefs Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Drive,clinic,,clinic,UAF Student Health and Counseling Center,"Mo,Tu,Th,Fr 08:30-17:00; We 10:00-17:00; SH off",-147.8221594,64.8583545,Fairbanks,https://www.uaf.edu/chc/,,,,,,,,,,,,,,,,,,,University of Alaska Fairbanks,,,,,,,,,,,,203,,,,,,,,-7157,https://www.facebook.com/UAFStudent.Health/,https://www.instagram.com/uafshcc/,uaf-sh-cc@alaska.edu,,,,,,Whitaker Building,,,,,,,,,https://twitter.com/UAFHealth_Couns,,,,,,,,,,,,,,
Sterling Highway,pharmacy,,pharmacy,Safeway,"Mo-Fr 09:00-20:00, Sa 10:00-18:00, Su 10:00-17:00",-151.0712459,60.4841932,Soldotna,https://local.pharmacy.safeway.com/safeway/ak/soldotna/44428-sterling-hwy.html,,,,,,,,,,,,,,,,,,,,,,,Safeway,Q1508234,,,,yes,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,no,,,,,,,,,,,,,,,,
West Dimond Boulevard,pharmacy,,pharmacy,Carrs,"Mo-Fr 09:00-21:00, Sa-Su 10:00-18:00",-149.95359,61.1361985,Anchorage,https://local.pharmacy.carrsqc.com/ak/anchorage/4000-w-dimond-blvd.html,,,,,,,,,,,,,,,,,,,,,,,Carrs,Q5046735,,,,yes,,,,,,,,,,,,,,,,yes,yes,yes,,,yes,,,,,,no,,,Q1508234,,,,,,,,,,,,,
Sterling Highway,pharmacy,,pharmacy,Fred Meyer Pharmacy,"Mo-Su 09:00-21:00, Sa 09:00-18:00, Su 11:00-18:00",-151.0484069,60.4893067,Soldotna,,,,,,,,,,,,,,,,,,,,,,,,Fred Meyer,Q5495932,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dimond Boulevard,pharmacy,,pharmacy,Fred Meyer Pharmacy,"Mo-Fr 09:00-21:00,Sa 09:00-19:00, Su 11:00-18:00",-149.9188842,61.1364161,Anchorage,https://www.fredmeyer.com/stores/details/701/00071,,,,,,,,,,,,,,,,,,,,,,,Fred Meyer,Q5495932,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
West Dimond Boulevard,pharmacy,,pharmacy,Walgreens,"Mo-Fr 09:00-13:30, Mo-Fr 2:00-18:00",-149.919666,61.1382731,Anchorage,https://www.walgreens.com/locator/walgreens-2197+w+dimond+blvd-anchorage-ak-99515/id=12680,,,,,,,,,,,,,,,,,,Lunch break from 1 pm to 2 pm daily,,,,,Walgreens,Q1591889,,,,yes,,,,,,,,,,,,,,,,yes,yes,yes,,,yes,,,,,,yes,,,,,,,,,,,,,,,,
Jewel Lake Road,clinic,,clinic,"Urgent Care Medical Clinic, LLC","Mo-Fr 08:00-18:00, Sa-Su 11:00-16:00",-149.952715,61.1383079,Anchorage,https://www.alaskaurgentcaremedicalclinic.com/,,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,-9717,,,,,yes,yes,yes,,,yes,,,,,,,,,,19-02-2024,,,,,,,,,,,,
,clinic,,clinic,Calm Harbor,,-131.68754,55.3530247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,,,Upper Tanana Heath Center,,-142.9912126,63.333188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Way,hospital,,hospital,Fairbanks Family Wellness,Mo-Fr 09:00-18:00,-147.807663,64.8373102,Fairbanks,https://fairbanksfamilywellness.com,US,,,paediatrics,,,,,,,,,,,,,,,Amy Williamson,private,,,,,,,,,,,4,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,
West 100th Avenue,pharmacy,,pharmacy,CVS Pharmacy,Mo-Fr 09:00-21:00; Sa-Su 09:00-18:00,-149.879976,61.1299096,,https://www.cvs.com/store-locator/anchorage-ak-pharmacies/150-w-100th-ave-anchorage-ak-99515/storeid=17436,,,,,,,,,,,,,,,,,,,,,,,CVS Pharmacy,Q2078880,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cvs.com/,CVS,,,,,
,hospital,,hospital,Wrangell Medical Center,,-132.3726365,56.4631625,,,,,,,,,,,,,,,,,,,,,Southeast Alaska Regional Health Consortium SEARHC,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East 36th Avenue,clinic,,clinic,Vera Whole Health,Mo-Th 08:00-19:00; Fr 06:00-17:00,-149.8728543,61.1878045,Anchorage,https://patients.verawholehealth.com/clinic/Midtown-Anchorage,,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6163,,,midtownanc@verawholehealth.com,,yes,yes,yes,,,yes,,,,,,,,,,,,,,,,,,Midtown Anchorage,,,,
